Category,Template
일반 - 서비스 이용 - 반납 연장,TP04
일반 - 서비스 이용 - 반납 방법,TP02
일반 - 서비스 이용 - 반납 요청,TP01
일반 - 차량장애 - 경고등 (공기압),TP03
일반 - 서비스 이용 - 장애 대차,TP05
일반 - 차량장애 - 차량 위생 (악취/쓰레기/흡연/개털등),TP06
일반 - 서비스 이용 - 쏘카존 차량 없음,TP07
일반 - 외부 인입 - 일반인 이동주차 요청,TP08
일반 - 분실물 - 회수 예약/문제어,TP09
일반 - 고객센터 - 즉시 끊김,TP10
일반 - 회원정보 - 면허상태 (승인/재발급/보류/취소),TP11
일반 - 분실물 - 습득 제보,TP12
일반 - 서비스 이용 - 예약 취소 (수수료),TP14
일반 - 회원정보 - 회원상태 (예약불가/정지/부정),TP15
일반 - 이벤트/할인 - 크레딧 내용/지급/사용,TP13
일반 - 회원정보 - 회원탈퇴 (요청/취소),TP00
일반 - 회원정보 - 회원계정 (아이디/비밀번호/주소),TP00
일반 - 회원정보 - 회원가입 (본인인증),TP00
일반 - 회원정보 - 결제카드 등록/수정 (법인카드),TP00
일반 - 회원정보 - 명의도용 (제보/대여/판매/신고),TP00
일반 - 회원정보 - 수신거부 (앱푸시/SMS/알림톡),TP00
일반 - 회원정보 - 개인정보 유출,TP00
일반 - 구독상품 - 쏘카패스 구독/결제,TP00
일반 - 구독상품 - 쏘카패스 구독 취소,TP00
일반 - 구독상품 - 쏘카패스 할인/쿠폰,TP00
일반 - 구독상품 - 패스포트 구독/결제,TP00
일반 - 구독상품 - 패스포트 구독 취소,TP00
일반 - 구독상품 - 패스포트 할인/쿠폰,TP00
일반 - 이벤트/할인 - 이벤트 내용,TP00
일반 - 이벤트/할인 - 쿠폰 내용/조건/적용,TP00
일반 - 이벤트/할인 - 흡연신고,TP00
일반 - 이벤트/할인 - 흡연신고 크레딧,TP00
일반 - 이벤트/할인 - 세차인증 크레딧,TP00
일반 - 이벤트/할인 - 바로반납 크레딧,TP00
일반 - 서비스 이용 - 이용 내역서,TP00
일반 - 서비스 이용 - 임대차 계약서,TP00
일반 - 서비스 이용 - 예약 방법,TP00
일반 - 서비스 이용 - 예약 요청 (수기),TP00
일반 - 서비스 이용 - 예약 정보 확인,TP00
일반 - 서비스 이용 - 예약 앞당기기,TP00
일반 - 서비스 이용 - 반납 위치 확인 (페널티/제반비용),TP00
일반 - 서비스 이용 - 반납 지연 공유,TP00
일반 - 서비스 이용 - 반납 지연 대차,TP00
일반 - 서비스 이용 - 반납 지연 강제회수,TP00
일반 - 서비스 이용 - 사고 대차,TP00
일반 - 서비스 이용 - 부름 배차 지연,TP00
일반 - 서비스 이용 - 부름 차량 없음/오위치,TP00
일반 - 서비스 이용 - 주차 불가 (왕복 쏘카존),TP00
일반 - 서비스 이용 - 주차 불가 (왕복 외),TP00
일반 - 서비스 이용 - 출차 불가 (주차비),TP00
일반 - 서비스 이용 - 출차 불가 (주차비 외),TP00
일반 - 서비스 이용 - 차량 이용 방법 (문제어/경적/비상등/방향지시등/시트/헤드라이트/사이드미러/잠금/주유/충전/창문),TP00
일반 - 서비스 이용 - 차량 기능 (성능/옵션),TP00
일반 - 서비스 이용 - 정책/약관,TP00
일반 - 서비스 이용 - 블랙박스 영상 요청,TP00
일반 - 서비스 이용 - 문제어 요청 (스마트키 사용방법),TP00
일반 - 서비스 이용 - 이용 전/후 사진등록,TP00
일반 - 서비스 이용 - 대리기사 문의,TP00
일반 - 서비스 이용 - 알림톡 확인 (방전, 예약),TP00
일반 - 서비스 이용 - 동승 운전자 등록,TP00
일반 - 서비스 이용 - 사고문의,TP00
일반 - 차량장애 - 경고등 (엔진),TP00
일반 - 차량장애 - 경고등 (배터리),TP00
일반 - 차량장애 - 경고등 (기타),TP00
일반 - 차량장애 - 타이어 펑크/찢어짐,TP00
일반 - 차량장애 - 전후방 센서,TP00
일반 - 차량장애 - 냉방 장애,TP00
일반 - 차량장애 - 난방 장애,TP00
일반 - 차량장애 - 시동 꺼짐/불가,TP00
일반 - 차량장애 - 블랙박스 탈거/고장,TP00
일반 - 차량장애 - 주유/충전카드 파손,TP00
일반 - 차량장애 - 주유/충전카드 분실,TP00
일반 - 차량장애 - 주유/충전카드 오류,TP00
일반 - 차량장애 - 하이패스 단말기 오류,TP00
일반 - 차량장애 - 단말기신호불량 (문/원격제어불가),TP00
일반 - 차량장애 - 파손/고장의심 (냄새/소음/진동/떨림),TP00
일반 - 차량장애 - 앱/차량 위치 상이,TP00
일반 - 차량장애 - 브레이크 이상,TP00
일반 - 차량장애 - 내장재 파손 (시트/A필러/룸미러/천장),TP00
일반 - 차량장애 - 내비/네비 이상,TP00
일반 - 차량장애 - 외관 파손 (긁힘/찌그러짐/깨짐),TP00
일반 - 차량장애 - 원인 불명 장애,TP00
일반 - 차량장애 - 긴급출동,TP00
일반 - 요금 및 결제 - 환불 접수,TP00
일반 - 요금 및 결제 - 환불 지연,TP00
일반 - 요금 및 결제 - 환불 반려,TP00
일반 - 요금 및 결제 - 결제 수단 변경,TP00
일반 - 요금 및 결제 - 미납금 확인,TP00
일반 - 요금 및 결제 - 채권 미납금 확인,TP00
일반 - 요금 및 결제 - 주행 요금,TP00
일반 - 요금 및 결제 - 보험 요금,TP00
일반 - 요금 및 결제 - 패널티 요금,TP00
일반 - 요금 및 결제 - 하이패스 요금,TP00
일반 - 요금 및 결제 - 하이패스 영수증,TP00
일반 - 요금 및 결제 - 과태료/범칙금,TP00
일반 - 요금 및 결제 - 결제 내역,TP00
일반 - 분실물 - 분실 제보,TP00
일반 - 분실물 - 회수/발송,TP00
일반 - 쏘카플랜 - 쏘카플랜 계약자 (동승자),TP00
일반 - 쏘카플랜 - 차량 장애,TP00
일반 - 비즈니스 - 상품 문의 (멤버십/구독/쿠폰/기업),TP00
일반 - 비즈니스 - 상품 가입,TP00
일반 - 비즈니스 - 계정,TP00
일반 - 비즈니스 - 결제,TP00
일반 - 비즈니스 - 전용 상담 번호 요청,TP00
일반 - 비즈니스 - 법인 정보 변경,TP00
일반 - 앱장애 - 스마트키,TP00
일반 - 앱장애 - 스마트키 (옥스트라 잠금),TP00
일반 - 앱장애 - 접속불가,TP00
일반 - 앱장애 - 오류코드,TP00
일반 - 앱장애 - 멈춤,TP00
일반 - 외부 인입 - 공기관 (경찰서, 관공서),TP00
일반 - 외부 인입 - 쏘카존 관리인,TP00
일반 - 외부 인입 - 일반인 차량파손/난폭운전 제보,TP00
일반 - 외부 인입 - 일반주차장관리인 무단/불법주차 제보,TP00
일반 - 외부 인입 - 일반주차장관리인 차량파손 제보,TP00
일반 - 외부 인입 - 일반주차장관리인 이동주차 요청,TP00
일반 - 외부 인입 - 일반주차장관리인 주차비 청구,TP00
일반 - 외부 인입 - 고속도로 톨게이트 관계자,TP00
일반 - 외부 인입 - 제휴/제안,TP00
일반 - 외부 인입 - 쏘카협력 공업사,TP00
일반 - 외부 인입 - 쏘카협력 세차업체,TP00
일반 - 일레클 - 일레클 문의,TP00
일반 - 고객센터 - 문의 유형 없음,TP00
일반 - 고객센터 - 호전환 및 번호안내,TP00
일반 - 고객센터 - 이전 상담사 통화 요청,TP00
일반 - 고객센터 - 상급자 통화 요청,TP00
일반 - 고객센터 - 건의사항,TP00
